,user_id,State,User_Score
0,1095536,PA,3
1,1153084,CT,4
2,364298,HI,3
3,3536496,NH,3
4,3542250,NV,1
5,1246770,AR,1
6,468520,CA,1
7,2388173,MT,2
8,2382829,ME,1
9,2162691,ME,2
10,3145632,RI,1
11,1589151,SD,3
12,1119887,DE,3
13,1666669,OR,4
14,1392194,MA,1
15,2109687,NV,3
16,1058888,DC,3
17,1878310,MT,3
18,1534875,OR,3
19,3690384,WV,3
20,1608534,SD,3
21,913366,MT,4
22,141142,MA,4
23,1225518,VA,3
24,1577712,NC,4
25,1529911,CO,3
26,2816149,NE,2
27,730165,OK,3
28,3226103,MD,4
29,2635474,FL,3
30,267116,NM,4
31,612272,ID,2
32,1952200,MN,2
33,1600780,WA,3
34,907433,VT,1
35,161108,MO,1
36,1874278,ID,2
37,3515416,KS,1
38,2778189,TN,1
39,596617,WV,2
40,3418126,CA,3
41,2503957,NM,1
42,1103297,NH,4
43,2585259,MT,3
44,807776,SC,3
45,969317,WY,4
46,3176529,KY,4
47,3290215,HI,4
48,1282314,WA,2
49,3458458,ME,4
50,1023380,LA,1
51,1326909,MS,3
52,2973009,SD,2
53,1036740,RI,2
54,2047783,ID,1
55,3240374,NC,2
56,917358,NJ,2
57,1496535,AK,2
58,210048,DE,3
59,624307,NM,1
60,1847496,NC,1
61,68093,VT,1
62,2123649,ND,2
63,513201,NV,1
64,1258195,LA,2
65,1159121,FL,3
66,1559823,WA,1
67,1883453,KY,2
68,486326,PA,1
69,1110113,WI,2
70,1023988,MO,1
71,602962,OH,1
72,1762078,WV,4
73,530378,NY,4
74,1264353,UT,2
75,3153115,CO,2
76,1260725,VA,2
77,865635,NM,4
78,381394,NY,2
79,3015779,WV,4
80,1248983,ID,1
81,1752389,KY,3
82,766058,ND,1
83,2142030,GA,3
84,324461,OR,1
85,1419285,KY,4
86,611360,NH,2
87,3425154,IL,4
88,548984,ND,3
89,432731,PA,1
90,92719,PA,4
91,1283190,NM,4
92,3156241,VA,3
93,1244048,MO,1
94,1162930,ND,3
95,2422870,AZ,1
96,2795237,ME,4
97,2254083,DE,1
98,732821,GA,3
99,1551782,CO,1
100,1596945,LA,1
101,793086,CO,4
102,2103992,SC,2
103,2257057,IN,2
104,973514,TX,2
105,880360,IN,3
106,2279981,WV,2
107,3393373,CA,4
108,3224377,NM,1
109,1460900,NV,3
110,270026,PA,4
111,2034057,OR,3
112,2278998,KS,3
113,2146059,NY,1
114,592473,NH,4
115,3411940,WY,1
116,2285171,MN,2
117,2148476,TN,1
118,2419088,AR,3
119,363738,CO,3
120,505351,KY,1
121,1841753,NM,4
122,3569482,DE,3
123,2130972,RI,1
124,1036818,NH,2
125,1449161,FL,1
126,255912,CO,2
127,828182,TX,1
128,3204005,DC,2
129,1078027,LA,3
130,430218,NE,3
131,1305391,OR,1
132,819241,NE,2
133,3660456,MT,2
134,309353,PA,1
135,317629,LA,3
136,3620299,TN,3
137,646027,AK,3
138,2089747,VT,2
139,1774050,MN,1
140,1609724,CO,1
141,168590,VA,3
142,1906145,MO,4
143,1163535,CA,1
144,2715160,KS,1
145,883624,DC,4
146,3646669,DE,3
147,1926176,WI,3
148,84902,TX,3
149,1836335,AK,1
150,1576615,MI,4
151,1234392,CT,1
152,165858,OR,2
153,2432626,IL,1
154,2134732,IN,4
155,2110096,WI,2
156,2951172,CA,1
157,22145,AL,3
158,1487127,AK,2
159,1501424,DE,2
160,1903846,RI,2
161,2021681,KS,1
162,2667780,PA,2
163,2078983,UT,3
164,2117071,OR,3
165,3595245,FL,4
166,1870539,CA,1
167,2879743,WV,1
168,3028607,IN,3
169,95770,CT,4
170,2084013,GA,1
171,1215042,MO,4
172,370405,NV,1
173,438786,KS,1
174,857356,WA,3
175,302539,MS,1
176,2171380,CA,3
177,383841,VA,2
178,3458546,DE,2
179,2230225,ME,2
180,1683734,ID,1
181,224444,FL,2
182,2605769,NV,3
183,386970,MI,4
184,1936965,NH,1
185,1926123,IN,1
186,856809,CO,4
187,3132464,NC,4
188,2379331,MO,1
189,1489757,LA,3
190,392150,UT,4
191,430548,SD,3
192,2201651,GA,2
193,57586,SC,4
194,478225,MO,3
195,3093923,NE,4
196,1212542,NV,4
197,840527,DE,3
198,1454275,SC,2
199,1780885,NH,4
200,3452657,VT,3
201,2944622,UT,4
202,1603589,WI,3
203,399841,DE,3
204,2043709,FL,2
205,3868091,UT,2
206,3234159,KS,4
207,2850131,ND,2
208,3665675,UT,2
209,2789007,MO,4
210,1128145,CT,1
211,2369954,TN,3
212,2331842,MN,1
213,2337508,KY,3
214,2999599,NC,4
215,1556074,AK,4
216,557934,GA,4
217,1121989,TX,3
218,2019858,UT,2
219,2044052,UT,4
220,996872,MA,1
221,332033,ME,3
222,3281312,MT,4
223,1652045,PA,4
224,382429,MI,4
225,2558149,NY,3
226,3990811,WI,4
227,456399,WV,3
228,994700,MO,1
229,221233,VA,4
230,3926159,WV,4
231,177490,OK,2
232,1779249,WY,4
233,328279,OK,2
234,2317507,NM,4
235,1366787,FL,4
236,327578,CA,3
237,59354,OH,4
238,2787452,NY,4
239,3143767,UT,4
240,199456,DE,4
241,99816,AZ,2
242,3172835,MD,1
243,622651,ME,1
244,407922,MO,2
245,1595272,ND,1
246,892709,NY,4
247,77243,KY,4
248,3469691,SD,4
249,1148421,KS,1
250,2061907,DC,1
251,14637,ID,2
252,331484,GA,1
253,985823,IN,3
254,313816,IA,1
255,1762302,NC,1
256,1942599,CT,4
257,2150283,NM,4
