,Index,Base_Sales,TV_Sales1,Temprature,TV_Spend,Week,TV_Sales1_AdStock,TV_Sales2,TV_Radio_Sales1,TV_Radio_Sales2,Radio_Spend,TV_Sales2_Adstock,TV_Radio_Sales1_Adstock,TV_Radio_Sales2_Adstock,Category,TVRadio_Sales1_Diff,TV_Sales_Diff,TV_Adstock1_Diff,TVRadio_Adstock1_Diff,Week_M
0,1,999.4204809,999.4204809,1.204758707,0,1,0,1003.276688,1008.322089,1007.48546,0,0,0,0,AA,8.9016081,-3.8562071,0,0,1
1,2,1016.029389,1016.029389,2.391967106,0,2,0,1008.322283,1004.325565,1005.948293,0,0,0,0,AA,-11.703824,7.707106,0,0,2
2,3,1020.880747,1020.880747,3.544330553,0,3,0,1011.757184,1019.312032,1018.708342,0,0,0,0,AA,-1.568715,9.123563,0,0,3
3,4,1020.23093,1020.23093,4.645062004,0,4,0,1020.124702,1023.269288,1016.475639,0,0,0,0,AA,3.038358,0.106228,0,0,4
4,5,1031.258145,1031.258145,5.67812657,0,5,0,1038.014845,1030.450885,1021.601069,0,0,0,0,AA,-0.80726,-6.7567,0,0,5
5,6,1035.86092,1035.86092,6.628475092,0,6,0,1030.068353,1023.482957,1027.972544,0,0,0,0,AA,-12.377963,5.792567,0,0,6
6,7,1023.420289,1023.420289,7.482263381,0,7,0,1040.622455,1025.405121,1034.275464,0,0,0,0,AA,1.984832,-17.202166,0,0,7
7,8,1039.223939,1039.223939,8.227053885,0,8,0,1042.386237,1037.906887,1034.03265,0,0,0,0,AA,-1.317052,-3.162298,0,0,8
8,9,1037.703225,1037.703225,8.851996877,0,9,0,1047.842684,1049.281201,1043.663026,0,0,0,0,AA,11.577976,-10.139459,0,0,9
9,10,1040.094621,1040.094621,9.347988508,0,10,0,1037.648762,1055.472868,1047.481966,0,0,0,0,AA,15.378247,2.445859,0,0,10
10,11,1039.152527,1039.152527,9.707803425,0,11,0,1043.828671,1053.154759,1033.081656,0,0,0,0,AA,14.002232,-4.676144,0,0,11
11,12,1051.319822,1051.319822,9.926200029,0,12,0,1044.82539,1052.937265,1044.775576,0,0,0,0,AA,1.617443,6.494432,0,0,12
12,13,1049.482126,1049.482126,9.999996829,0,13,0,1050.85234,1055.753044,1048.502896,0,0,0,0,AA,6.270918,-1.370214,0,0,13
13,14,1050.544905,1050.544905,9.928118792,0,14,0,1046.536077,1054.574419,1044.415411,0,0,0,0,AA,4.029514,4.008828,0,0,14
14,15,1047.227506,1047.227506,9.711613,0,15,0,1042.226841,1047.517485,1056.200257,0,0,0,0,AA,0.289979,5.000665,0,0,15
15,16,1053.200508,1053.200508,9.353633399,0,16,0,1048.125383,1046.497979,1051.758168,0,0,0,0,AA,-6.702529,5.075125,0,0,16
16,17,1041.624468,1041.624468,8.859394851,0,17,0,1048.879907,1045.527083,1044.681868,0,0,0,0,AA,3.902615,-7.255439,0,0,17
17,18,1047.458414,1047.458414,8.236097173,0,18,0,1043.903541,1046.201294,1050.127611,0,0,0,0,AA,-1.25712,3.554873,0,0,18
18,19,1051.196043,1051.196043,7.492820245,0,19,0,1043.750604,1046.057214,1043.360679,0,0,0,0,AA,-5.138829,7.445439,0,0,19
19,20,1037.437498,1066.830241,6.640391745,390,20,0.979758089,1069.451877,1070.998713,1079.439213,0,0.979758089,0.979758089,0.979758089,AA,4.168472,-2.621636,0,0,20
