,name,original_entity,linked_entities,name_linked_entities
0,pasta,Q178,Q2657718,Armenian Soviet Encyclopedia
1,pasta,Q178,Q27554871,GOST R 51865-2002 Macaroni products. General specifications
2,pasta,Q178,Q27554985,GOST 31743-2012 Macaroni products. General specifications
3,pasta,Q178,Q27496539,flour product
4,pasta,Q178,Q46018558,"groats, pastas and legumes"
5,pasta,Q178,Q736427,staple food
6,pasta,Q178,Q736427,staple food
7,pasta,Q178,Q736427,staple food
8,pasta,Q178,Q736427,staple food
9,pasta,Q178,Q7493597,shelf stable food
10,pasta,Q178,Q2095,food
11,pasta,Q178,Q2095,food
12,pasta,Q178,Q148,People's Republic of China
13,pasta,Q178,Q38,Italy
14,pasta,Q178,Q618324,Triticum durum
15,pasta,Q178,Q8964844,Category:Pasta
16,pasta,Q178,Q178,pasta
17,chips,Q1023688,Q11396323,police television drama
18,chips,Q1023688,Q1366112,television drama
19,chips,Q1023688,Q56064758,adventure television series
20,chips,Q1023688,Q1139435,Robert Pine
21,chips,Q1023688,Q230965,Heather O'Rourke
22,chips,Q1023688,Q2925057,Brianne Leary
23,chips,Q1023688,Q316955,Michael Dorn
24,chips,Q1023688,Q3260154,Lou Wagner
25,chips,Q1023688,Q4347535,Bruce Penhall
26,chips,Q1023688,Q706338,Erik Estrada
27,chips,Q1023688,Q7152044,Paul Linke
28,chips,Q1023688,Q723783,Larry Wilcox
29,chips,Q1023688,Q5398426,television series
30,chips,Q1023688,Q716214,Jon Cassar
31,chips,Q1023688,Q713273,Billy May
32,chips,Q1023688,Q3255519,list of CHiPs episodes
33,chips,Q1023688,Q23928454,David Geddes
34,chips,Q1023688,Q1860,English
35,chips,Q1023688,Q1860,English
36,chips,Q1023688,Q13974,NBC
37,chips,Q1023688,Q22006653,color
38,chips,Q1023688,Q30,United States of America
39,chips,Q1023688,Q25410341,"CHiPs, season 1"
40,chips,Q1023688,Q25410342,"CHiPs, season 2"
41,chips,Q1023688,Q25410343,"CHiPs, season 3"
42,chips,Q1023688,Q25410348,"CHiPs, season 4"
43,chips,Q1023688,Q25410350,"CHiPs, season 6"
44,chips,Q1023688,Q25410352,"CHiPs, season 5"
45,chips,Q1023688,Q7855903,Turner Broadcasting System
46,chips,Q1023688,Q65,Los Angeles
47,chips,Q1023688,Q49191728,Category:CHiPs
48,chips,Q1023688,Q1023688,CHiPs
49,Espresso,Q180289,Q38,Italy
50,Espresso,Q180289,Q17075804,caffè
51,Espresso,Q180289,Q70408,Caffè con panna
52,Espresso,Q180289,Q38,Italy
53,Espresso,Q180289,Q8422169,Category:Espresso
54,Espresso,Q180289,Q180289,espresso
55,Cheese,Q10943,Q14615743,Portal:Cheese
56,Cheese,Q10943,Q4086271,Bible Encyclopedia of Archimandrite Nicephorus
57,Cheese,Q10943,Q602358,Brockhaus and Efron Encyclopedic Dictionary
58,Cheese,Q10943,Q602358,Brockhaus and Efron Encyclopedic Dictionary
59,Cheese,Q10943,Q6717769,Template:Infobox cheese
60,Cheese,Q10943,Q31587397,Queijo
61,Cheese,Q10943,Q471230,history of cheese
62,Cheese,Q10943,Q185217,dairy product
63,Cheese,Q10943,Q185217,dairy product
64,Cheese,Q10943,Q25403900,food ingredient
65,Cheese,Q10943,Q26844116,cheese and cottage cheese
66,Cheese,Q10943,Q5460604,Wikipedia:Vital articles
67,Cheese,Q10943,Q15384231,WikiProject Cheeses
68,Cheese,Q10943,Q6176558,Category:Cheese
69,Cheese,Q10943,Q9530526,Category:Cheeses
70,Cheese,Q10943,Q10943,cheese
71,bread,Q7802,Q283,water
72,bread,Q7802,Q36465,flour
73,bread,Q7802,Q2095,food
74,bread,Q7802,Q2095,food
75,bread,Q7802,Q1138524,Paulys Realenzyklopädie der klassischen Altertumswissenschaft
76,bread,Q7802,Q1138524,Paulys Realenzyklopädie der klassischen Altertumswissenschaft
77,bread,Q7802,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary
78,bread,Q7802,Q1970746,Explanatory Dictionary of the Living Great Russian Language
79,bread,Q7802,Q2041543,Ottův slovník naučný
80,bread,Q7802,Q602358,Brockhaus and Efron Encyclopedic Dictionary
81,bread,Q7802,Q602358,Brockhaus and Efron Encyclopedic Dictionary
82,bread,Q7802,Q720398,baking
83,bread,Q7802,Q4498085,bakery product
84,bread,Q7802,Q736427,staple food
85,bread,Q7802,Q736427,staple food
86,bread,Q7802,Q736427,staple food
87,bread,Q7802,Q736427,staple food
88,bread,Q7802,Q5460604,Wikipedia:Vital articles
89,bread,Q7802,Q36465,flour
90,bread,Q7802,Q5827742,Category:Breads
91,bread,Q7802,Q7802,bread
