,tsne-2d-one,tsne-2d-two,cluster
0,-12.29091,-2.8133726,1.0
1,-12.094114,-4.0617065,1.0
2,16.320354,12.193345,4.0
3,2.5677826,-0.8347774,4.0
4,2.2561562,16.019106,7.0
5,1.9724375,15.704488,4.0
6,4.9016895,-13.516763,3.0
7,-7.5108175,12.203638,6.0
8,17.868198,2.8483794,0.0
9,19.667377,2.045983,0.0
10,-20.123217,14.283239,5.0
11,10.275719,1.4628091,4.0
12,8.172113,17.519613,7.0
13,-8.053603,-2.1013994,1.0
14,7.320889,-0.29267517,4.0
15,2.5394347,-13.381668,3.0
16,-13.789833,-4.0599275,1.0
17,4.834637,-9.996882,3.0
18,4.5526476,18.869268,7.0
19,-15.640895,23.120855,9.0
20,-15.242048,13.642312,5.0
21,-4.4845953,-19.2218,8.0
22,8.850568,-24.431143,11.0
23,-19.050268,10.216482,5.0
24,-14.327159,-9.89317,1.0
25,11.5845175,4.0185003,4.0
26,16.77707,-1.829381,0.0
27,5.905757,7.453467,4.0
28,-8.440753,-4.8446474,1.0
29,-10.147137,3.383747,9.0
30,-13.649972,-2.5933301,1.0
31,11.104293,-14.058648,3.0
32,-19.890802,6.5405936,6.0
33,-0.41485402,-8.129398,3.0
34,6.014347,-20.519533,11.0
35,-12.289679,5.556313,9.0
36,21.983423,-0.2684698,0.0
37,8.079797,-21.602549,11.0
38,16.348042,1.8475173,3.0
39,-3.4016006,-13.437064,0.0
40,-7.609473,-7.865296,1.0
41,-16.101492,11.608665,5.0
42,1.6806673,-16.881678,3.0
43,9.346886,1.8729001,4.0
44,7.427192,-25.337378,11.0
45,4.3325396,1.7225151,4.0
46,-8.125619,-17.911152,8.0
47,-6.121832,-0.71035796,1.0
48,5.781203,13.748939,7.0
49,-4.9432,-11.970656,3.0
50,-14.522391,-9.014026,1.0
51,15.318334,-11.537936,3.0
52,13.224421,0.9340014,4.0
53,5.9608355,-22.228403,11.0
54,6.9117384,-3.8725893,4.0
55,13.523618,0.5509899,4.0
56,12.326193,-16.206804,3.0
57,9.91387,-15.4368925,3.0
58,3.3732314,-22.76244,11.0
59,-19.344088,10.707736,5.0
60,1.6683128,26.46719,10.0
61,-20.765982,2.4712617,6.0
62,7.103167,-11.690141,3.0
63,10.566851,-4.707703,4.0
64,7.220437,15.718262,7.0
65,3.3829594,-20.2337,11.0
66,-13.72615,-9.903963,4.0
67,0.7211247,-1.0792257,4.0
68,3.211327,-4.49869,4.0
69,-9.21978,7.774821,9.0
70,-14.80406,20.664104,9.0
71,-9.411544,6.1043425,9.0
72,16.05514,10.862614,6.0
73,4.1085835,14.253393,7.0
74,1.041468,-12.836571,3.0
75,-15.96158,-10.024505,1.0
76,-2.5359688,-19.5797,8.0
77,10.455088,-1.4698397,4.0
78,-6.78985,-4.241852,1.0
79,8.044177,-22.174635,11.0
80,0.2927726,-2.8009942,4.0
81,-14.089441,-10.955292,1.0
82,0.42477328,-4.2596636,3.0
83,2.5978572,5.85689,4.0
84,14.229139,-4.1271415,4.0
85,10.5879965,3.387081,4.0
86,-3.075695,1.0858636,11.0
87,-10.707294,9.254612,6.0
88,22.543589,-3.5502312,0.0
89,5.288918,7.389125,4.0
90,3.4540055,2.04389,4.0
91,11.5431795,-6.2548547,4.0
92,-6.231116,6.1598597,1.0
93,-14.438132,19.272814,9.0
94,-5.4919324,18.368673,6.0
95,9.928154,-0.59111077,4.0
96,-10.163822,14.644321,6.0
97,-15.340498,-8.378724,1.0
98,-17.6915,-3.9832165,1.0
99,-9.681869,-3.2686157,1.0
100,16.198149,-12.833588,3.0
101,5.3862996,4.6695323,4.0
102,-4.2650137,22.77939,6.0
103,2.2124414,-7.044384,3.0
104,1.7331358,-7.9666553,3.0
105,-14.373355,25.075142,9.0
106,-17.51143,21.42096,9.0
107,23.656498,-1.7417332,0.0
108,-12.6528425,4.571907,9.0
109,-14.314169,-5.8698587,1.0
110,7.0979857,-3.569092,4.0
111,-5.7618966,-16.73007,8.0
112,16.651083,-13.163834,3.0
113,3.5274403,18.483648,7.0
114,-2.3983521,0.51809025,3.0
115,-8.107792,15.436019,6.0
116,4.024131,-14.132467,3.0
117,5.5163145,-8.799134,0.0
118,-17.269455,-10.331559,1.0
119,-16.242636,22.635885,9.0
120,6.3511667,14.317423,7.0
121,0.70799726,30.528126,10.0
122,1.1764047,-24.808258,11.0
123,11.113095,1.3476518,4.0
124,-12.052631,5.8771706,9.0
125,-10.596464,3.675027,9.0
126,1.1828959,0.25269425,4.0
127,20.274698,-2.2763429,0.0
128,0.12170332,28.695433,10.0
129,-13.800121,-11.599262,1.0
130,-6.942247,15.348929,6.0
131,-9.378443,7.5612755,9.0
132,16.08599,-1.9857897,4.0
133,9.719636,18.748198,7.0
134,0.18982552,4.864977,4.0
135,25.105316,0.7063874,0.0
136,-2.4148803,11.489359,2.0
137,5.018092,-23.54743,11.0
138,4.2536626,-10.29585,3.0
139,-14.825888,-4.9943614,1.0
140,-18.741016,5.472043,6.0
141,-15.496868,19.801828,9.0
142,5.5251446,16.548985,7.0
143,5.9272304,5.022855,4.0
144,-10.821185,4.076873,9.0
145,22.27023,0.6165159,0.0
146,-9.712729,-5.8045664,1.0
147,10.4742,-12.798749,3.0
148,-8.772359,6.911914,9.0
149,8.411498,2.9732807,4.0
150,7.12694,-2.9967945,4.0
151,-11.273785,7.4928856,9.0
152,8.640673,4.08598,4.0
153,-4.84287,-9.087872,1.0
154,0.76809484,-7.6241536,3.0
155,-7.2942142,9.585949,6.0
156,-0.2771618,-12.700581,3.0
157,9.07917,-2.5487828,4.0
158,23.474289,0.5278462,0.0
159,8.363515,-14.476505,3.0
160,3.6366057,-15.149198,3.0
161,15.175374,-13.497835,3.0
162,-11.86908,0.6151609,1.0
163,7.029661,-17.061815,11.0
164,0.8669553,10.746589,2.0
165,-7.151059,-4.9928865,1.0
166,2.3569765,-6.975546,3.0
167,3.917601,-17.104017,11.0
168,21.490284,-0.93401,0.0
169,-13.17288,-7.326631,1.0
170,-1.7119888,12.861613,2.0
171,-3.6025043,-5.502251,3.0
172,-14.573714,12.757459,5.0
173,-20.063934,12.21976,5.0
174,-18.59691,10.394633,5.0
175,19.036541,5.4334927,0.0
176,3.2725003,18.720158,7.0
177,17.592234,4.3753805,0.0
178,-9.995256,10.801606,2.0
179,-14.124157,23.392471,9.0
180,3.3606272,2.7586467,4.0
181,-6.324857,-17.8067,8.0
182,-12.955793,-5.324726,1.0
183,20.181864,1.5940409,0.0
184,21.857681,-3.078421,0.0
185,7.740232,20.42385,7.0
186,19.560478,0.44587085,0.0
187,20.245703,-4.286879,0.0
188,-15.171248,24.392187,9.0
189,-2.0801866,10.47847,2.0
190,18.26049,7.3400636,0.0
191,11.436529,-14.397841,3.0
192,-16.565426,-10.936548,1.0
193,-2.6124642,-15.181499,8.0
194,11.497209,3.8481314,4.0
195,7.9310174,-23.222256,11.0
196,-9.970971,-6.3415294,1.0
197,-6.759216,13.422457,6.0
198,-13.626017,21.995955,9.0
199,-1.7128972,10.434546,2.0
200,8.064097,-4.458132,4.0
201,-4.239914,-4.1301103,4.0
202,-14.509957,-4.894973,1.0
203,-0.5002318,30.810661,10.0
204,-16.495832,-8.148424,1.0
205,7.7564726,1.8035029,4.0
206,1.2976928,30.017628,10.0
207,-12.132202,6.10736,9.0
208,18.757143,1.4969305,0.0
209,-11.109482,-6.3905625,1.0
210,0.008578699,-9.832762,3.0
211,-8.552778,10.131907,9.0
212,-8.280437,-10.635136,3.0
213,-20.142094,-8.393698,1.0
214,-15.822355,-6.9842057,1.0
215,2.685374,22.21942,7.0
216,-4.1213784,20.780449,6.0
217,6.8873515,16.043592,7.0
218,7.204948,17.493011,7.0
219,-9.611707,-18.402018,8.0
220,7.818331,-20.255915,11.0
221,-6.4128933,6.503501,2.0
222,2.2356799,22.635675,7.0
223,9.523552,-23.404129,11.0
224,4.1464133,17.540073,7.0
225,-9.168859,15.239802,6.0
226,10.142643,4.0099783,4.0
227,0.7965549,30.58324,10.0
228,-8.551439,-12.586419,3.0
229,3.3290708,-9.65724,0.0
230,-17.14559,11.579431,5.0
231,-3.8737297,1.7036786,0.0
232,-12.937334,5.8495927,9.0
233,3.7295215,-25.407362,11.0
234,-5.6646314,17.902803,6.0
235,16.052578,18.476728,7.0
236,9.342416,-15.465404,3.0
237,10.483785,5.7577405,4.0
238,10.148151,-13.878983,3.0
239,-14.159871,24.752394,9.0
240,-18.673597,-10.910421,1.0
241,-4.439925,-11.59915,3.0
242,-14.927914,-2.4654448,1.0
243,4.082844,-0.61819535,4.0
244,-14.702347,22.159973,9.0
245,-1.1872693,29.55467,10.0
246,20.186857,-2.3376262,0.0
247,-2.449931,4.605131,9.0
248,-0.5981177,-15.345364,8.0
249,22.268358,-6.5990224,0.0
250,-9.473974,-13.659946,1.0
251,6.6903715,-24.008764,11.0
252,14.261999,-6.513055,4.0
253,-13.095771,-4.456953,1.0
254,-16.647034,-2.1065288,1.0
255,20.016083,3.963406,0.0
256,5.083265,-25.19726,11.0
257,-9.202438,-20.34549,8.0
258,-17.808838,-9.281323,1.0
259,16.20167,11.119175,4.0
260,6.693439,14.216498,7.0
261,19.773252,-0.34205118,0.0
262,13.12058,5.0255747,4.0
263,-13.268975,23.42728,9.0
264,1.6320336,30.491701,10.0
265,15.303444,-12.00075,3.0
266,5.627001,9.78035,4.0
267,-4.5674386,2.0294628,3.0
268,3.3732023,22.625145,7.0
269,-14.807704,21.646772,9.0
270,-17.206942,10.630038,5.0
271,-17.100344,23.180866,9.0
272,1.068366,30.254541,10.0
273,23.098673,-2.3411217,0.0
274,5.94768,-24.606674,11.0
275,6.6479344,2.1906862,4.0
276,1.6252061,-9.357116,3.0
277,1.4196051,-20.537014,11.0
278,7.8983383,3.2441714,4.0
279,0.095283926,-8.135803,3.0
280,1.0516711,28.761478,10.0
281,-6.64126,-21.051943,8.0
282,-3.326376,-11.832729,11.0
283,2.4317803,4.5066295,6.0
284,-1.7209722,9.221851,2.0
285,-7.101705,18.068321,6.0
286,-13.1059265,12.715772,5.0
287,19.039675,-2.3072183,0.0
288,9.697244,6.9482527,4.0
289,-0.3468677,0.13611661,4.0
290,-4.6632576,0.05567464,3.0
291,9.87203,-15.695357,3.0
292,1.2728933,17.39941,7.0
293,-8.01758,-3.1080062,1.0
294,5.0368247,17.296429,7.0
295,10.494659,1.1178267,4.0
296,-7.8152294,6.75401,3.0
297,-14.179448,22.19758,9.0
298,9.07207,-5.3905272,4.0
299,-14.753719,21.537294,9.0
300,4.5144634,0.2503919,4.0
301,-7.9084163,-4.914202,1.0
302,2.3361092,-15.36907,3.0
303,8.5035095,17.167627,7.0
304,10.260531,-0.8422436,4.0
305,-0.60938084,-11.11859,0.0
306,15.5820875,18.339962,7.0
307,-3.593083,19.885237,6.0
308,-7.510654,12.041722,6.0
309,20.170961,-2.3040602,0.0
310,22.094576,-0.28312045,0.0
311,-10.478768,-4.0265274,1.0
312,7.8283105,-15.171468,3.0
313,-4.6128635,-20.647057,8.0
314,10.0106945,-23.352793,11.0
315,4.223057,2.8027916,4.0
