Customer State,Review Score,Purchase Timestamp,Purchase Date,Monetary,Customer Segment,Marketing Action,Customer_ID,Order_ID,Product_ID,product_name,aisle,department,Product Category,latent_cluster
PR,5,2017-08-01 18:38:42,2017-08-01 00:00:00,472.06,Loyal Customers,Loyality programs;Cross Sell,33008,42252,8446,Utility Lighter,more household,household,more household,3.0
BA,5,2018-03-18 21:00:44,2018-03-18 00:00:00,344.52,Loyal Customers,Loyality programs;Cross Sell,7413,71176,8446,Utility Lighter,more household,household,more household,4.0
GO,5,2017-08-05 16:59:05,2017-08-05 00:00:00,756.3299999999997,Loyal Customers,Loyality programs;Cross Sell,27116,76489,8446,Utility Lighter,more household,household,more household,4.0
TO,3,2017-10-04 09:10:06,2017-10-04 00:00:00,98.53,Loyal Customers,Loyality programs;Cross Sell,993,26929,20672,Vegan Alfredo Sauce Arugula Pesto,MunchPak,dry goods pasta,MunchPak,4.0
PR,5,2018-01-06 19:17:24,2018-01-06 00:00:00,472.06,Loyal Customers,Loyality programs;Cross Sell,33008,74521,14691,Disposal Cleaner,cleaning products,household,cleaning products,3.0
RJ,4,2018-01-19 09:38:37,2018-01-19 00:00:00,383.71,Loyal Customers,Loyality programs;Cross Sell,5168,90374,14691,Disposal Cleaner,cleaning products,household,cleaning products,0.0
PR,5,2017-06-10 15:31:35,2017-06-10 00:00:00,472.06,Loyal Customers,Loyality programs;Cross Sell,33008,91315,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
SP,4,2017-06-13 18:16:27,2017-06-13 00:00:00,390.92,Loyal Customers,Loyality programs;Cross Sell,38408,79933,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,1.0
RS,5,2017-08-10 15:06:01,2017-08-10 00:00:00,299.4,Loyal Customers,Loyality programs;Cross Sell,21491,77773,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
PE,5,2017-05-03 18:07:05,2017-05-03 00:00:00,337.06,Loyal Customers,Loyality programs;Cross Sell,26038,58718,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
MG,5,2017-05-25 09:43:38,2017-05-25 00:00:00,270.54,Loyal Customers,Loyality programs;Cross Sell,18766,56654,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
MG,5,2017-06-07 22:18:23,2017-06-07 00:00:00,179.07,Loyal Customers,Loyality programs;Cross Sell,15179,65828,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
MG,5,2017-05-25 23:53:14,2017-05-25 00:00:00,306.4,Loyal Customers,Loyality programs;Cross Sell,31695,36315,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
SP,4,2017-06-14 14:33:25,2017-06-14 00:00:00,128.74,Loyal Customers,Loyality programs;Cross Sell,6257,65225,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
SP,5,2017-08-04 12:01:39,2017-08-04 00:00:00,242.22,Loyal Customers,Loyality programs;Cross Sell,5129,3722,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
RJ,5,2017-05-10 19:29:00,2017-05-10 00:00:00,233.38,Loyal Customers,Loyality programs;Cross Sell,19327,90624,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
MG,4,2017-06-09 16:15:38,2017-06-09 00:00:00,174.73000000000005,Loyal Customers,Loyality programs;Cross Sell,10699,65302,852,Light String Cheese,packaged cheese,dairy eggs,packaged cheese,3.0
PR,4,2017-12-15 14:34:17,2017-12-15 00:00:00,237.35,Loyal Customers,Loyality programs;Cross Sell,37666,49929,4922,Summer Sausage Beef Premium,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,6.0
